Age_Group,Gender,City_Type,Region,Occupation,Education,Income,Last_Purchase,Yearly_Purchases,Annual_Spend,Western_Frequency,Primary_Channel,Style,Fitness,Top_Factor,Occasion,Product_Interest,Bundle_Interest,Avg_Price,Too_Cheap,Acceptable,Too_Expensive,Trendiness,Quality_Pref,Identity_Expression,Peer_Influence,Aspirational,New_Brand_Open,Sustainability,COD_Preference,Concern,Loyalty_Offer,Brand,Switch_Reason,Discount_Type,Purchase_Intent
25–32,Male,Metro,West,Business,School,30-60k,8-30d,1-3,60k-1L,Quarterly,Offline,Fusion,No,Trend,Daily,Graphic,Yes,>7000,<300,1300-2000,>1500,2,4,3,1,3,2,2,No preference,No online,Birthday,Bonkers,None,Flat,High
41–50,Non-binary,Tier-3,North,Homemaker,School,15-30k,8-30d,13-20,<5k,Monthly,Offline,Casual,3-4x,Sustainability,College,Accessories,Yes,>7000,1200-1500,800-1300,>4000,2,4,1,3,2,5,2,No preference,No online,Points,H&M,Price,Free Shipping,Low
41–50,Male,Tier-2,South,Freelancer,Graduate,30-60k,3-6m,13-20,15-30k,Monthly,Instagram,Smart,Daily,Trend,Party,Graphic,No,<500,<300,1300-2000,>3000,1,4,3,4,2,1,5,No,None,Birthday,Roadster,None,Free Shipping,High
Under 18,Non-binary,Rural,North,Business,Graduate,>1L,1-3m,7-12,15-30k,Quarterly,Instagram,Fusion,Daily,Price,College,Sneakers,Maybe,<500,<300,500-800,>3000,1,4,4,3,5,5,5,First time,Delivery,Points,H&M,Trend,Flat,High
50+,Prefer not to say,Rural,South,Unemployed,Postgraduate,<15k,<7d,4-6,30-60k,Weekly,Meesho,Fusion,Daily,Trend,None,Graphic,Yes,<500,<300,1300-2000,>1500,3,4,4,5,2,4,1,No,Quality,Early Access,Local,Fit,Free Shipping,None
25–32,Male,Metro,South,Business,Graduate,<15k,1-3m,1-3,>1L,Quarterly,Meesho,Formal,Occasional,Quality,Sale,Cargo,No,>7000,1200-1500,3000-4000,>2000,1,1,4,2,3,3,4,First time,None,Early Access,Roadster,None,B2G1,High
33–40,Non-binary,Metro,North,Student,Diploma,<15k,1-3m,20+,30-60k,Rare,Meesho,Fusion,Occasional,Comfort,Sale,Graphic,Yes,500-1000,600-900,500-800,>4000,1,2,2,5,3,4,5,Always,Delivery,Points,Newme,Service,Scratch,Neutral
Under 18,Female,Tier-3,North-East,Student,School,>1L,8-30d,7-12,>1L,Rare,Ajio,Fusion,3-4x,Trend,College,Athleisure,Maybe,4000-7000,900-1200,500-800,>3000,1,2,1,5,4,4,4,Always,No online,Free Gift,H&M,Recommendation,Free Shipping,Moderate
25–32,Non-binary,Tier-2,East,Student,Postgraduate,<15k,8-30d,4-6,5-15k,Weekly,Offline,Casual,Occasional,Price,Sale,Graphic,Yes,<500,<300,2000-3000,>4000,3,4,2,2,5,5,5,No,Returns,Early Access,Uniqlo,Service,Bundle,Neutral
25–32,Male,Rural,North,Government,Postgraduate,15-30k,8-30d,1-3,>1L,Quarterly,Amazon,Athleisure,No,Trend,Daily,Co-ord,No,4000-7000,300-600,3000-4000,>4000,2,2,5,4,2,4,5,No preference,Quality,Free Gift,Local,Quality,B2G1,Moderate
Under 18,Female,Tier-3,Central,Student,Diploma,>1L,>6m,13-20,60k-1L,Quarterly,Ajio,Fusion,Daily,Comfort,Festive,Graphic,No,2000-4000,300-600,3000-4000,>4000,3,3,4,4,5,1,3,First time,Sizing,Free Gift,Bonkers,Service,Welcome,Moderate
41–50,Non-binary,Rural,North-East,Freelancer,Graduate,NA,>6m,4-6,<5k,Monthly,Nykaa,Ethnic,3-4x,Brand,College,Accessories,Maybe,500-1000,1200-1500,800-1300,>6000,1,2,1,3,2,3,4,First time,Sizing,Free Gift,Bonkers,Fit,B2G1,Low
25–32,Non-binary,Metro,North-East,Business,Postgraduate,>1L,<7d,4-6,>1L,Weekly,Nykaa,Athleisure,No,Trend,Daily,Sneakers,Yes,4000-7000,600-900,1300-2000,>4000,5,5,4,5,4,5,3,No,None,Referral,Bonkers,Trend,Bundle,High
41–50,Non-binary,Rural,Central,Freelancer,Graduate,>1L,8-30d,4-6,>1L,Rare,Nykaa,Formal,No,Quality,None,Co-ord,No,>7000,<300,1300-2000,>4000,1,4,1,3,3,2,1,No preference,None,None,Local,None,Scratch,Low
Under 18,Non-binary,Tier-2,East,Homemaker,Graduate,30-60k,3-6m,13-20,>1L,Rare,Nykaa,Formal,Occasional,Comfort,Daily,Sneakers,Maybe,>7000,1200-1500,3000-4000,>2000,3,5,2,2,3,4,3,No preference,Quality,Referral,Roadster,Quality,B2G1,Moderate
41–50,Non-binary,Tier-2,North-East,Student,Diploma,30-60k,8-30d,20+,<5k,Weekly,Nykaa,Fusion,Occasional,Price,Daily,Accessories,Maybe,<500,900-1200,1300-2000,>2000,3,5,2,1,1,5,3,First time,Sizing,None,Roadster,Fit,Flat,None
18–24,Female,Metro,South,Unemployed,Postgraduate,30-60k,>6m,7-12,15-30k,Rare,Brand,Casual,Daily,Comfort,None,Athleisure,Yes,<500,600-900,3000-4000,>6000,4,4,4,4,5,4,1,Always,None,None,H&M,Trend,Free Shipping,None
33–40,Prefer not to say,Tier-2,East,Government,Graduate,60k-1L,8-30d,20+,<5k,Weekly,Instagram,Athleisure,3-4x,Sustainability,Party,Cargo,No,4000-7000,600-900,500-800,>6000,5,1,3,2,2,4,4,First time,Sizing,Free Gift,Uniqlo,None,Flat,Low
25–32,Female,Tier-2,Central,Homemaker,Graduate,15-30k,>6m,1-3,15-30k,Rare,Amazon,Formal,No,Brand,College,Athleisure,Yes,>7000,1200-1500,1300-2000,>4000,3,2,1,4,1,5,2,Always,Returns,Points,None,Fit,Flat,Low
50+,Female,Tier-3,East,Unemployed,Diploma,>1L,8-30d,7-12,60k-1L,Rare,Ajio,Formal,Occasional,Price,College,Co-ord,Yes,4000-7000,300-600,1300-2000,>3000,2,3,5,3,5,1,5,No,None,None,Zara,Service,Flat,High
33–40,Female,Rural,North,Government,Diploma,>1L,3-6m,1-3,<5k,Weekly,Nykaa,Ethnic,Occasional,Brand,College,Accessories,Yes,2000-4000,600-900,3000-4000,>3000,1,1,3,1,2,2,4,No preference,No online,Early Access,Local,Fit,B2G1,Low
41–50,Prefer not to say,Metro,East,Homemaker,Graduate,30-60k,<7d,13-20,15-30k,Weekly,Brand,Fusion,3-4x,Brand,Festive,Accessories,No,500-1000,300-600,3000-4000,>1500,2,3,2,5,4,4,1,First time,Delivery,Birthday,Roadster,Quality,Welcome,Low
25–32,Male,Metro,South,Business,Diploma,>1L,3-6m,20+,60k-1L,Rare,Meesho,Athleisure,3-4x,Quality,Daily,Cargo,Maybe,>7000,600-900,800-1300,>3000,3,4,1,4,5,1,3,No,None,Referral,Local,Fit,Scratch,Neutral
41–50,Prefer not to say,Metro,North,Freelancer,Graduate,NA,>6m,4-6,60k-1L,Rare,Meesho,Formal,Occasional,Trend,College,Graphic,Yes,1000-2000,600-900,1300-2000,>3000,3,2,3,5,2,4,2,No preference,Returns,Referral,Zara,Price,Free Shipping,Low
18–24,Female,Metro,West,Private,Postgraduate,>1L,1-3m,7-12,15-30k,Monthly,Offline,Formal,Occasional,Quality,Sale,Co-ord,Yes,>7000,600-900,2000-3000,>2000,2,1,5,3,3,4,3,Always,Quality,Birthday,Zara,Service,B2G1,Low
Under 18,Non-binary,Metro,Central,Freelancer,School,<15k,3-6m,4-6,15-30k,Quarterly,Brand,Formal,Daily,Quality,Party,Cargo,No,2000-4000,900-1200,3000-4000,>1500,2,4,3,4,5,1,5,No,Sizing,Free Gift,Roadster,Fit,Scratch,Neutral
25–32,Non-binary,Tier-2,Central,Student,Diploma,NA,8-30d,1-3,5-15k,Weekly,Brand,Formal,3-4x,Sustainability,None,Sneakers,Yes,>7000,300-600,2000-3000,>1500,4,1,5,3,2,4,1,No,No online,None,None,Trend,Flat,Moderate
18–24,Female,Tier-3,East,Unemployed,School,NA,<7d,4-6,60k-1L,Weekly,Amazon,Casual,No,Quality,None,Cargo,Maybe,2000-4000,900-1200,500-800,>2000,1,5,2,5,3,2,2,First time,Quality,Birthday,None,Service,Bundle,Moderate
18–24,Non-binary,Metro,North-East,Private,Graduate,>1L,8-30d,4-6,15-30k,Quarterly,Nykaa,Smart,Occasional,Price,Festive,Sneakers,Yes,>7000,300-600,500-800,>3000,2,2,1,3,3,5,4,No,None,Free Gift,H&M,Recommendation,Bundle,Neutral
25–32,Female,Tier-3,North,Government,Graduate,60k-1L,8-30d,13-20,60k-1L,Monthly,Brand,Ethnic,Occasional,Trend,None,Sneakers,Maybe,2000-4000,900-1200,2000-3000,>3000,1,2,2,3,1,1,4,No,Delivery,Referral,Uniqlo,Trend,Flat,High
41–50,Non-binary,Tier-3,West,Business,Graduate,30-60k,3-6m,13-20,<5k,Rare,Instagram,Casual,Occasional,Trend,Party,Accessories,Yes,<500,900-1200,500-800,>1500,5,4,1,3,2,3,1,First time,Quality,Birthday,None,Quality,Welcome,Low
50+,Prefer not to say,Tier-2,North,Business,School,15-30k,<7d,20+,30-60k,Rare,Brand,Ethnic,Occasional,Price,Daily,Cargo,Yes,4000-7000,900-1200,2000-3000,>3000,3,4,3,2,1,4,1,No,Delivery,None,Local,Recommendation,Scratch,High
18–24,Male,Metro,Central,Government,Graduate,15-30k,1-3m,1-3,30-60k,Monthly,Nykaa,Formal,Daily,Quality,None,Accessories,Yes,>7000,1200-1500,800-1300,>1500,2,4,2,2,1,5,3,Always,None,Points,Zara,Recommendation,Free Shipping,None
33–40,Male,Tier-2,North,Student,Diploma,<15k,8-30d,13-20,>1L,Monthly,Amazon,Ethnic,3-4x,Quality,None,Accessories,Maybe,500-1000,900-1200,800-1300,>3000,5,2,1,4,4,2,2,First time,Delivery,Early Access,H&M,Recommendation,Scratch,High
18–24,Prefer not to say,Metro,West,Government,Postgraduate,15-30k,<7d,13-20,15-30k,Quarterly,Brand,Fusion,Occasional,Brand,Sale,Athleisure,Yes,<500,600-900,500-800,>4000,3,5,5,3,1,2,5,Always,Delivery,Early Access,H&M,Price,B2G1,Low
50+,Prefer not to say,Tier-2,North-East,Homemaker,Postgraduate,15-30k,1-3m,20+,15-30k,Quarterly,Ajio,Fusion,3-4x,Brand,Daily,Athleisure,Yes,2000-4000,<300,2000-3000,>2000,4,2,1,3,1,3,1,First time,Returns,Early Access,Uniqlo,None,Welcome,Moderate
41–50,Female,Tier-3,East,Unemployed,Diploma,30-60k,8-30d,7-12,60k-1L,Rare,Myntra,Smart,No,Sustainability,College,Accessories,Yes,500-1000,900-1200,2000-3000,>6000,3,4,2,3,4,2,2,No preference,Quality,Birthday,Roadster,Fit,Bundle,Low
41–50,Female,Metro,South,Unemployed,Postgraduate,30-60k,<7d,20+,>1L,Monthly,Meesho,Smart,No,Comfort,Party,Accessories,Maybe,<500,<300,2000-3000,>4000,2,3,2,2,4,5,1,No,None,None,None,Service,Flat,Low
33–40,Female,Rural,North,Student,School,60k-1L,3-6m,4-6,15-30k,Monthly,Offline,Ethnic,No,Brand,None,Sneakers,Yes,1000-2000,<300,500-800,>3000,5,5,3,5,5,3,1,No preference,Returns,Free Gift,Uniqlo,None,B2G1,Low
18–24,Non-binary,Tier-3,South,Private,Graduate,<15k,8-30d,4-6,60k-1L,Rare,Myntra,Casual,No,Trend,Sale,Accessories,No,>7000,600-900,2000-3000,>6000,5,2,5,3,1,1,4,Always,Delivery,None,Local,Fit,Welcome,High
41–50,Female,Rural,Central,Government,Graduate,15-30k,8-30d,13-20,15-30k,Rare,Myntra,Casual,3-4x,Price,Party,Co-ord,Maybe,>7000,<300,3000-4000,>4000,5,3,1,1,3,3,2,No preference,Returns,None,Zara,Fit,Scratch,Moderate
50+,Prefer not to say,Tier-3,East,Student,Graduate,60k-1L,<7d,13-20,60k-1L,Rare,Amazon,Formal,No,Quality,Festive,Cargo,No,2000-4000,<300,2000-3000,>2000,3,5,2,4,4,1,4,Always,Returns,Referral,H&M,Service,Welcome,Moderate
25–32,Male,Tier-2,East,Unemployed,School,<15k,8-30d,20+,15-30k,Rare,Meesho,Casual,No,Comfort,Sale,Co-ord,Yes,<500,<300,3000-4000,>6000,1,2,1,2,2,2,4,No preference,Delivery,Early Access,Zara,None,Welcome,High
Under 18,Non-binary,Metro,North,Private,School,NA,1-3m,20+,5-15k,Rare,Brand,Smart,Occasional,Brand,Festive,Athleisure,Maybe,<500,300-600,800-1300,>6000,1,4,4,5,5,5,2,Always,None,Birthday,Local,Recommendation,Scratch,High
Under 18,Female,Tier-3,North-East,Government,School,15-30k,8-30d,1-3,60k-1L,Quarterly,Myntra,Casual,Occasional,Comfort,None,Co-ord,Maybe,2000-4000,900-1200,3000-4000,>2000,3,2,5,1,5,4,4,No,Sizing,Early Access,Local,Recommendation,B2G1,High
Under 18,Non-binary,Tier-2,East,Business,Diploma,15-30k,>6m,4-6,5-15k,Rare,Myntra,Formal,Occasional,Price,Sale,Graphic,Yes,1000-2000,900-1200,800-1300,>4000,2,5,5,3,1,3,3,No preference,Returns,None,H&M,Price,Free Shipping,None
18–24,Non-binary,Metro,North,Government,School,30-60k,1-3m,20+,5-15k,Monthly,Meesho,Fusion,Daily,Price,College,Graphic,No,>7000,<300,500-800,>6000,3,4,4,2,3,2,5,Always,Quality,Free Gift,Roadster,Price,Scratch,None
33–40,Female,Metro,North,Freelancer,Postgraduate,>1L,<7d,7-12,5-15k,Weekly,Offline,Casual,Occasional,Comfort,Party,Athleisure,Maybe,4000-7000,600-900,800-1300,>2000,1,1,5,3,4,5,5,Always,Delivery,Points,Local,Quality,B2G1,Low
41–50,Non-binary,Tier-3,South,Government,Diploma,<15k,1-3m,1-3,5-15k,Quarterly,Nykaa,Casual,No,Comfort,Party,Co-ord,Maybe,1000-2000,300-600,800-1300,>4000,3,3,4,4,2,4,3,No preference,Sizing,Points,H&M,Service,Scratch,None
25–32,Male,Metro,East,Freelancer,Diploma,15-30k,>6m,20+,<5k,Monthly,Instagram,Smart,3-4x,Sustainability,Daily,Cargo,Maybe,2000-4000,600-900,2000-3000,>3000,5,4,1,2,1,3,1,No preference,Returns,None,Roadster,Service,Flat,High
50+,Prefer not to say,Tier-3,North,Private,Diploma,<15k,>6m,13-20,>1L,Weekly,Instagram,Ethnic,No,Comfort,Sale,Athleisure,Maybe,4000-7000,600-900,1300-2000,>1500,2,4,4,1,3,5,4,No preference,Delivery,Referral,Roadster,Trend,B2G1,High
25–32,Prefer not to say,Metro,South,Government,School,60k-1L,8-30d,20+,30-60k,Quarterly,Meesho,Fusion,3-4x,Quality,Sale,Graphic,Maybe,<500,<300,800-1300,>3000,2,5,3,5,1,2,5,No,Delivery,Points,Zara,Trend,Welcome,High
50+,Male,Rural,West,Private,Diploma,60k-1L,8-30d,13-20,<5k,Rare,Brand,Ethnic,No,Trend,Festive,Athleisure,Yes,1000-2000,1200-1500,3000-4000,>3000,4,5,4,5,1,3,2,No,Returns,Points,Zara,Trend,Free Shipping,Moderate
18–24,Non-binary,Tier-2,South,Private,School,>1L,3-6m,13-20,15-30k,Quarterly,Brand,Formal,Daily,Brand,Sale,Co-ord,Maybe,1000-2000,<300,500-800,>1500,3,3,1,4,5,3,1,No,No online,Birthday,Uniqlo,Price,Free Shipping,Moderate
Under 18,Female,Rural,South,Unemployed,School,15-30k,1-3m,4-6,15-30k,Rare,Offline,Formal,Occasional,Brand,Party,Co-ord,No,>7000,1200-1500,3000-4000,>3000,5,5,5,5,2,1,5,No preference,No online,Birthday,Zara,Quality,Flat,None
18–24,Non-binary,Tier-3,North,Student,Diploma,30-60k,3-6m,4-6,>1L,Rare,Nykaa,Ethnic,No,Brand,Sale,Co-ord,Maybe,>7000,300-600,500-800,>3000,3,4,3,5,2,1,4,Always,Quality,Referral,Newme,Quality,Flat,Neutral
33–40,Male,Rural,Central,Private,Graduate,15-30k,>6m,20+,30-60k,Rare,Meesho,Smart,Occasional,Comfort,Daily,Sneakers,Yes,4000-7000,1200-1500,3000-4000,>2000,4,3,4,4,2,3,5,Always,Delivery,None,Zara,Recommendation,Bundle,Neutral
33–40,Non-binary,Tier-3,Central,Private,Graduate,<15k,8-30d,20+,30-60k,Weekly,Brand,Athleisure,Daily,Comfort,Daily,Co-ord,Yes,<500,<300,800-1300,>2000,4,3,1,1,2,5,4,Always,Delivery,Referral,Zara,Fit,Bundle,High
50+,Prefer not to say,Metro,North-East,Unemployed,Diploma,NA,8-30d,7-12,30-60k,Quarterly,Instagram,Smart,Daily,Sustainability,Party,Accessories,No,1000-2000,<300,1300-2000,>4000,3,2,3,2,4,2,1,First time,Returns,None,Uniqlo,Quality,Bundle,Moderate
41–50,Non-binary,Metro,Central,Unemployed,Graduate,60k-1L,8-30d,1-3,5-15k,Rare,Instagram,Athleisure,Occasional,Comfort,Party,Graphic,Maybe,4000-7000,600-900,800-1300,>6000,3,4,3,2,4,4,3,No preference,Sizing,Birthday,H&M,None,B2G1,Low
41–50,Male,Tier-3,South,Government,Postgraduate,<15k,<7d,1-3,<5k,Monthly,Ajio,Athleisure,Occasional,Sustainability,Party,Graphic,No,1000-2000,<300,2000-3000,>4000,3,4,3,4,2,1,4,Always,Delivery,Points,Uniqlo,Trend,Free Shipping,None
50+,Prefer not to say,Rural,North-East,Unemployed,Postgraduate,>1L,>6m,20+,15-30k,Quarterly,Offline,Smart,3-4x,Sustainability,Sale,Sneakers,No,>7000,<300,3000-4000,>2000,1,5,4,3,3,2,4,No preference,Delivery,None,None,Service,Flat,Moderate
33–40,Non-binary,Metro,North,Government,School,60k-1L,8-30d,4-6,<5k,Monthly,Amazon,Athleisure,Occasional,Quality,Sale,Graphic,No,<500,900-1200,1300-2000,>2000,4,4,1,4,4,3,1,No preference,Returns,Free Gift,Newme,Fit,Bundle,High
33–40,Non-binary,Tier-2,East,Business,Graduate,30-60k,>6m,7-12,<5k,Weekly,Nykaa,Athleisure,Occasional,Quality,College,Graphic,No,<500,900-1200,3000-4000,>1500,2,5,1,4,4,2,1,Always,No online,Points,Newme,Recommendation,Flat,High
33–40,Prefer not to say,Metro,South,Unemployed,Postgraduate,60k-1L,8-30d,1-3,<5k,Weekly,Offline,Athleisure,3-4x,Quality,None,Athleisure,Maybe,500-1000,600-900,2000-3000,>1500,1,4,1,4,3,2,2,No preference,Delivery,Points,Local,Price,Bundle,Neutral
18–24,Female,Tier-2,South,Student,Diploma,NA,1-3m,20+,30-60k,Quarterly,Myntra,Fusion,No,Quality,None,Co-ord,Yes,4000-7000,1200-1500,2000-3000,>2000,5,2,2,4,2,2,1,First time,Returns,Free Gift,H&M,Quality,B2G1,High
33–40,Prefer not to say,Rural,North-East,Private,Graduate,15-30k,>6m,4-6,>1L,Weekly,Meesho,Formal,3-4x,Price,Festive,Accessories,Yes,>7000,1200-1500,2000-3000,>3000,2,4,5,5,1,3,5,First time,Quality,Referral,Zara,Recommendation,Scratch,High
25–32,Female,Tier-2,North,Student,Postgraduate,NA,3-6m,4-6,>1L,Weekly,Brand,Athleisure,No,Quality,Sale,Accessories,Maybe,>7000,900-1200,800-1300,>4000,2,2,1,5,4,1,4,Always,Returns,Birthday,Uniqlo,Service,B2G1,Low
Under 18,Male,Tier-2,West,Freelancer,Postgraduate,NA,<7d,4-6,30-60k,Quarterly,Ajio,Formal,No,Quality,College,Athleisure,No,>7000,300-600,800-1300,>2000,2,4,2,1,1,4,3,No preference,No online,Referral,Local,Trend,Welcome,None
33–40,Male,Tier-2,South,Unemployed,Diploma,15-30k,3-6m,13-20,15-30k,Monthly,Instagram,Formal,No,Quality,College,Accessories,Maybe,2000-4000,900-1200,1300-2000,>2000,4,4,2,4,1,5,1,First time,Sizing,Referral,Bonkers,Price,Flat,Low
50+,Prefer not to say,Tier-2,West,Private,School,60k-1L,>6m,4-6,15-30k,Rare,Ajio,Fusion,3-4x,Sustainability,Daily,Athleisure,No,1000-2000,300-600,2000-3000,>1500,5,1,3,2,3,1,4,Always,Delivery,Referral,Roadster,Price,Scratch,Neutral
Under 18,Prefer not to say,Metro,West,Student,Diploma,>1L,8-30d,20+,15-30k,Quarterly,Amazon,Formal,3-4x,Brand,Sale,Accessories,No,<500,1200-1500,800-1300,>4000,1,4,5,3,2,4,3,No,Quality,Birthday,Newme,Quality,Scratch,Moderate
18–24,Male,Tier-2,Central,Unemployed,School,15-30k,>6m,7-12,>1L,Quarterly,Meesho,Ethnic,Daily,Brand,College,Graphic,Maybe,1000-2000,900-1200,500-800,>4000,5,2,3,5,1,3,2,No,Delivery,Referral,Local,None,Welcome,Neutral
50+,Female,Metro,North,Unemployed,Postgraduate,15-30k,<7d,20+,>1L,Rare,Offline,Casual,No,Brand,Daily,Cargo,Maybe,1000-2000,<300,500-800,>6000,1,3,5,2,2,4,5,No,Delivery,Referral,H&M,Service,Scratch,High
Under 18,Male,Tier-2,West,Business,School,30-60k,>6m,4-6,<5k,Monthly,Ajio,Fusion,3-4x,Trend,Festive,Co-ord,No,2000-4000,300-600,800-1300,>2000,4,2,3,5,5,3,2,No,No online,Early Access,Local,Trend,B2G1,None
50+,Prefer not to say,Tier-3,North,Business,Postgraduate,60k-1L,8-30d,7-12,30-60k,Rare,Offline,Casual,Daily,Price,Daily,Cargo,No,<500,300-600,1300-2000,>6000,5,4,4,1,2,4,1,First time,Returns,Points,Bonkers,Trend,Scratch,High
18–24,Male,Rural,Central,Private,Postgraduate,15-30k,3-6m,1-3,5-15k,Rare,Meesho,Ethnic,No,Sustainability,Festive,Graphic,No,500-1000,300-600,3000-4000,>1500,2,5,5,3,3,1,5,Always,Delivery,Early Access,Roadster,Trend,B2G1,None
25–32,Prefer not to say,Tier-2,North,Freelancer,Graduate,>1L,1-3m,1-3,<5k,Monthly,Brand,Smart,3-4x,Comfort,None,Sneakers,No,>7000,1200-1500,2000-3000,>6000,5,1,2,5,3,3,2,First time,No online,Birthday,Bonkers,Trend,Scratch,None
18–24,Prefer not to say,Tier-3,South,Business,School,<15k,3-6m,20+,60k-1L,Monthly,Brand,Smart,3-4x,Sustainability,None,Athleisure,Maybe,4000-7000,600-900,800-1300,>3000,4,5,2,3,5,2,4,No,Quality,None,Zara,Quality,Scratch,None
18–24,Male,Tier-2,West,Business,School,60k-1L,8-30d,7-12,>1L,Rare,Instagram,Athleisure,3-4x,Quality,Party,Accessories,Yes,1000-2000,<300,1300-2000,>2000,4,1,5,3,3,3,1,No preference,No online,None,None,Recommendation,Flat,Moderate
50+,Female,Tier-2,North,Freelancer,School,30-60k,8-30d,20+,<5k,Rare,Ajio,Smart,Occasional,Brand,Party,Accessories,Yes,2000-4000,900-1200,3000-4000,>2000,4,1,3,2,2,3,2,No,No online,Free Gift,H&M,Recommendation,Welcome,Neutral
41–50,Non-binary,Tier-2,East,Student,Diploma,NA,<7d,7-12,30-60k,Quarterly,Brand,Fusion,Daily,Sustainability,Daily,Graphic,No,2000-4000,300-600,1300-2000,>4000,1,5,4,5,2,4,5,No preference,No online,None,Roadster,Recommendation,Scratch,Moderate
33–40,Male,Tier-3,North,Business,Graduate,15-30k,>6m,7-12,60k-1L,Monthly,Meesho,Smart,3-4x,Price,Party,Accessories,Yes,4000-7000,1200-1500,3000-4000,>6000,5,4,4,3,2,3,5,Always,None,Free Gift,Roadster,Quality,Scratch,Moderate
33–40,Non-binary,Rural,West,Government,Graduate,>1L,>6m,20+,<5k,Weekly,Offline,Fusion,Occasional,Quality,Sale,Graphic,Yes,4000-7000,300-600,500-800,>4000,2,2,1,4,3,4,3,First time,No online,None,None,Service,Welcome,Moderate
25–32,Male,Tier-3,Central,Homemaker,Graduate,60k-1L,3-6m,7-12,30-60k,Monthly,Instagram,Fusion,Daily,Trend,Daily,Cargo,Yes,<500,900-1200,3000-4000,>6000,2,5,5,3,2,1,5,No preference,Delivery,Early Access,Zara,None,Welcome,Low
25–32,Non-binary,Rural,Central,Homemaker,Diploma,>1L,1-3m,4-6,30-60k,Rare,Brand,Casual,Daily,Comfort,College,Sneakers,Yes,1000-2000,<300,500-800,>6000,3,3,4,3,4,3,5,No,No online,Early Access,Zara,Fit,Flat,Low
33–40,Female,Tier-2,West,Business,School,>1L,1-3m,7-12,>1L,Rare,Meesho,Smart,Occasional,Quality,Sale,Athleisure,Yes,1000-2000,300-600,2000-3000,>1500,4,1,3,5,5,2,1,First time,Returns,Early Access,Zara,Quality,Flat,Low
41–50,Female,Metro,South,Student,School,NA,<7d,7-12,5-15k,Rare,Meesho,Formal,Daily,Comfort,Daily,Accessories,Yes,4000-7000,1200-1500,800-1300,>6000,2,2,3,4,4,2,5,No preference,Sizing,Points,H&M,Trend,Flat,Moderate
33–40,Male,Tier-2,South,Unemployed,School,30-60k,8-30d,20+,<5k,Rare,Instagram,Smart,Occasional,Sustainability,None,Sneakers,No,>7000,1200-1500,500-800,>4000,4,3,2,3,2,1,3,Always,Delivery,Birthday,Newme,Recommendation,Free Shipping,High
41–50,Prefer not to say,Rural,Central,Student,Graduate,60k-1L,<7d,1-3,30-60k,Weekly,Myntra,Smart,No,Quality,Festive,Sneakers,No,500-1000,600-900,1300-2000,>6000,2,2,4,5,3,2,5,No preference,No online,None,Bonkers,Recommendation,Scratch,Low
25–32,Non-binary,Tier-3,Central,Private,Graduate,15-30k,>6m,13-20,15-30k,Monthly,Offline,Smart,3-4x,Trend,Party,Sneakers,No,1000-2000,1200-1500,3000-4000,>6000,5,4,4,5,5,4,3,No preference,No online,None,H&M,Service,B2G1,Low
Under 18,Prefer not to say,Tier-2,West,Government,Postgraduate,30-60k,8-30d,7-12,30-60k,Weekly,Meesho,Athleisure,Occasional,Sustainability,Party,Co-ord,Maybe,2000-4000,600-900,1300-2000,>2000,3,3,3,3,4,3,4,Always,Returns,None,H&M,Trend,Free Shipping,Moderate
50+,Prefer not to say,Tier-3,South,Student,Diploma,15-30k,<7d,13-20,5-15k,Weekly,Instagram,Formal,Daily,Price,Party,Sneakers,Yes,>7000,<300,500-800,>2000,4,5,2,1,2,5,3,First time,Delivery,Referral,Bonkers,Quality,Free Shipping,Neutral
25–32,Prefer not to say,Tier-3,Central,Freelancer,Diploma,<15k,3-6m,7-12,30-60k,Rare,Nykaa,Formal,Daily,Comfort,Daily,Graphic,Yes,4000-7000,900-1200,1300-2000,>2000,1,2,4,1,3,3,1,Always,None,Early Access,Local,Recommendation,B2G1,High
25–32,Female,Tier-3,South,Government,Graduate,>1L,>6m,20+,>1L,Weekly,Meesho,Fusion,No,Comfort,Sale,Co-ord,Maybe,1000-2000,600-900,3000-4000,>3000,1,5,3,2,2,3,2,First time,None,Points,Roadster,Service,Scratch,None
18–24,Male,Tier-2,Central,Homemaker,Postgraduate,<15k,1-3m,20+,<5k,Rare,Brand,Formal,No,Price,Festive,Co-ord,Yes,<500,300-600,800-1300,>2000,2,5,2,1,4,5,2,First time,Quality,Free Gift,Local,None,Bundle,None
18–24,Male,Tier-3,North,Government,School,>1L,<7d,7-12,>1L,Rare,Brand,Fusion,No,Comfort,Party,Sneakers,No,4000-7000,300-600,1300-2000,>3000,5,2,2,1,4,2,4,First time,None,Free Gift,Bonkers,Trend,Bundle,High
18–24,Female,Tier-3,East,Freelancer,Graduate,NA,>6m,20+,<5k,Rare,Offline,Casual,No,Sustainability,Sale,Accessories,No,2000-4000,900-1200,2000-3000,>3000,4,2,3,5,5,2,1,No preference,Returns,Free Gift,Zara,Recommendation,Bundle,Moderate
50+,Female,Tier-2,North-East,Business,Diploma,30-60k,>6m,20+,60k-1L,Weekly,Meesho,Fusion,No,Brand,College,Accessories,Maybe,<500,1200-1500,3000-4000,>4000,3,1,2,5,3,3,4,No,None,Early Access,Roadster,Fit,Flat,Neutral
